# Athena++ data at time=6.000000e-01  cycle=7794  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0147  3.27077e-01  2.13812e+01  9.39178e+00  6.05336e+00 -1.04417e-15 -2.64487e+00  4.65205e+00  1.15094e-15 -4.07986e+00
0148  3.28981e-01  2.11327e+01  9.21055e+00  6.05383e+00 -3.21153e-15 -2.66071e+00  4.59834e+00 -2.77429e-15 -4.05626e+00
0149  3.30886e-01  2.08886e+01  9.03386e+00  6.05429e+00 -4.29408e-15 -2.67655e+00  4.54556e+00 -3.26113e-15 -4.03294e+00
0150  3.32790e-01  2.06486e+01  8.86155e+00  6.05474e+00 -4.08664e-15 -2.69239e+00  4.49368e+00  3.32198e-17 -4.00988e+00
0151  3.34694e-01  2.04128e+01  8.69350e+00  6.05519e+00 -3.47657e-15 -2.70822e+00  4.44269e+00  6.15345e-15 -3.98708e+00
0152  3.36598e-01  2.01810e+01  8.52957e+00  6.05562e+00 -1.98273e-15 -2.72405e+00  4.39256e+00  1.28421e-14 -3.96454e+00
0153  3.38503e-01  1.99531e+01  8.36965e+00  6.05605e+00  3.83912e-16 -2.73988e+00  4.34327e+00  1.71936e-14 -3.94225e+00
0154  3.40407e-01  1.97291e+01  8.21361e+00  6.05648e+00  2.39113e-15 -2.75571e+00  4.29481e+00  1.82223e-14 -3.92022e+00
0155  3.42311e-01  1.95089e+01  8.06133e+00  6.05689e+00  4.33537e-15 -2.77153e+00  4.24715e+00  2.03190e-14 -3.89842e+00
0156  3.44216e-01  1.92923e+01  7.91271e+00  6.05730e+00  5.15979e-15 -2.78736e+00  4.20028e+00  1.68380e-14 -3.87687e+00
0157  3.46120e-01  1.90793e+01  7.76764e+00  6.05770e+00  5.32374e-15 -2.80318e+00  4.15419e+00  5.52828e-15 -3.85556e+00
0158  3.48024e-01  1.88698e+01  7.62601e+00  6.05810e+00  5.51823e-15 -2.81900e+00  4.10884e+00 -9.93998e-15 -3.83448e+00
0159  3.49928e-01  1.86638e+01  7.48772e+00  6.05849e+00  5.75408e-15 -2.83481e+00  4.06424e+00 -2.03459e-14 -3.81362e+00
0160  3.51833e-01  1.84611e+01  7.35268e+00  6.05887e+00  6.12385e-15 -2.85063e+00  4.02036e+00 -2.01378e-14 -3.79300e+00
0161  3.53737e-01  1.82617e+01  7.22080e+00  6.05924e+00  7.75353e-15 -2.86644e+00  3.97719e+00 -1.19861e-14 -3.77259e+00
0162  3.55641e-01  1.80656e+01  7.09197e+00  6.05961e+00  9.62123e-15 -2.88225e+00  3.93470e+00  3.29857e-16 -3.75241e+00
0163  3.57546e-01  1.78726e+01  6.96613e+00  6.05997e+00  9.66952e-15 -2.89805e+00  3.89290e+00  1.25775e-14 -3.73243e+00
0164  3.59450e-01  1.76826e+01  6.84317e+00  6.06033e+00  9.31952e-15 -2.91386e+00  3.85176e+00  2.27528e-14 -3.71268e+00
0165  3.61354e-01  1.74957e+01  6.72303e+00  6.06068e+00  8.46616e-15 -2.92966e+00  3.81126e+00  3.01329e-14 -3.69312e+00
0166  3.63258e-01  1.73118e+01  6.60561e+00  6.06103e+00  7.99742e-15 -2.94547e+00  3.77140e+00  3.19491e-14 -3.67378e+00
0167  3.65163e-01  1.71307e+01  6.49086e+00  6.06136e+00  7.02193e-15 -2.96126e+00  3.73217e+00  2.54686e-14 -3.65463e+00
0168  3.67067e-01  1.69525e+01  6.37868e+00  6.06170e+00  5.75568e-15 -2.97706e+00  3.69354e+00  1.00975e-14 -3.63569e+00
0169  3.68971e-01  1.67770e+01  6.26901e+00  6.06203e+00  4.67719e-15 -2.99286e+00  3.65551e+00 -7.00704e-15 -3.61693e+00
0170  3.70876e-01  1.66043e+01  6.16179e+00  6.06235e+00  4.32892e-15 -3.00865e+00  3.61806e+00 -1.93402e-14 -3.59838e+00
0171  3.72780e-01  1.64342e+01  6.05694e+00  6.06267e+00  4.46300e-15 -3.02445e+00  3.58119e+00 -2.34036e-14 -3.58001e+00
0172  3.74684e-01  1.62667e+01  5.95440e+00  6.06298e+00  4.79841e-15 -3.04024e+00  3.54487e+00 -2.36547e-14 -3.56182e+00
0173  3.76589e-01  1.61018e+01  5.85411e+00  6.06329e+00  5.63930e-15 -3.05603e+00  3.50911e+00 -2.11078e-14 -3.54383e+00
0174  3.78493e-01  1.59394e+01  5.75601e+00  6.06359e+00  7.63959e-15 -3.07181e+00  3.47389e+00 -1.24696e-14 -3.52601e+00
0175  3.80397e-01  1.57794e+01  5.66003e+00  6.06389e+00  9.38987e-15 -3.08760e+00  3.43919e+00  7.13762e-16 -3.50837e+00
